_ID,TimeSt,Country,Province,City,Latitude,Longitude,ClosestDistance,ClosestPOI
4530411,2017-06-21 04:00:39.533,CA,ON,Thornhill,43.8395,-79.3831,496.48945475353446,POI3
4530503,2017-06-21 16:00:36.580,CA,AB,Calgary,50.8837,-114.0326,298.4697870208888,POI1
4530595,2017-06-21 18:00:36.720,CA,AB,Calgary,51.07,-114.0297,277.88593002861677,POI1
4530606,2017-06-21 18:00:36.890,CA,AB,Fort Mcmurray,56.7377,-111.43799999999999,378.0552637831802,POI1
4530674,2017-06-21 10:00:37.060,CA,ON,Thornhill,43.8395,-79.3831,496.48945475353446,POI3
4530743,2017-06-21 09:00:38.007,CA,AB,Calgary,50.8476,-114.1958,304.02622016797454,POI1
4530820,2017-06-21 00:00:39.023,CA,NB,Moncton,46.1183,-64.7338,153.24889519182472,POI4
4530905,2017-06-21 04:00:39.110,CA,AB,Calgary,51.0412,-114.0762,281.4961429957358,POI1
4530927,2017-06-21 15:00:38.390,CA,AB,Fort Mcmurray,56.7141,-111.38,376.89752104397525,POI1
4531063,2017-06-21 21:00:38.677,CA,QC,Victoriaville,46.0672,-71.9596,138.56897163598583,POI3
4531095,2017-06-21 07:00:38.883,CA,QC,Victoriaville,46.0672,-71.9596,138.56897163598583,POI3
4531193,2017-06-21 11:00:39.317,CA,AB,Calgary,51.04176,-113.99981,280.7405667694465,POI1
4531255,2017-06-21 08:00:39.990,CA,ON,North York,43.7677,-79.4126,501.95940357549983,POI3
4531256,2017-06-21 17:00:40.900,CA,SK,Saskatoon,52.1225,-106.72488,480.8702720426305,POI1
4531268,2017-06-21 07:00:41.213,CA,ON,Concord,43.8031,-79.49185,506.10934695110535,POI3
4531295,2017-06-21 22:00:36.547,CA,ON,Cobourg,43.9645,-78.1712,402.85010924497016,POI3
